,Model,Train Accuracy,Test Accuracy,Train Precision,Test Precision,Train Recall,Test Recall,Train F1_score,Test F1_score,Train AUC_ROC,Test AUC_ROC,Cross_Validation_Scores_for_trainset
0,Logistic Regression,0.7121212121212122,0.6843033509700176,0.6924493554327809,0.6218487394957983,0.6383701188455009,0.6244725738396625,0.6643109540636042,0.6231578947368421,0.7049579732394399,0.6758726505561948,"[0.6515151515151515, 0.75, 0.7045454545454546, 0.7121212121212122, 0.6704545454545454]"
1,Support Vector Classifier,0.7628787878787879,0.7142857142857143,0.7816326530612245,0.6811594202898551,0.6502546689303905,0.5949367088607594,0.7099165894346617,0.6351351351351351,0.7519399199645113,0.6974683544303798,"[0.7045454545454546, 0.7121212121212122, 0.7007575757575758, 0.678030303030303, 0.7537878787878788]"
2,NuSVC,0.9212121212121213,0.7619047619047619,0.9338103756708408,0.7161016949152542,0.8862478777589134,0.7130801687763713,0.9094076655052264,0.7145877378435517,0.9178161413418371,0.7550249328730342,"[0.7613636363636364, 0.7537878787878788, 0.7613636363636364, 0.7386363636363636, 0.7916666666666666]"
3,SGD Classifier,0.6325757575757576,0.6490299823633157,0.6101694915254238,0.5979381443298969,0.48896434634974534,0.48945147679324896,0.5428840716305372,0.5382830626450117,0.618627180014818,0.6265439202148063,"[0.6287878787878788, 0.625, 0.6439393939393939, 0.6174242424242424, 0.7348484848484849]"
4,KNeighbors Classifier,0.8083333333333333,0.7125220458553791,0.8559322033898306,0.6887755102040817,0.6859083191850595,0.569620253164557,0.7615457115928369,0.6235565819861432,0.796442531685553,0.692385884158036,"[0.6856060606060606, 0.7083333333333334, 0.6818181818181818, 0.7348484848484849, 0.7310606060606061]"
5,Gradient Boosting Classifier,0.9022727272727272,0.7848324514991182,0.9049295774647887,0.7510917030567685,0.8726655348047538,0.7257383966244726,0.8885047536732931,0.7381974248927038,0.899397062888013,0.7765055619486,"[0.7803030303030303, 0.7386363636363636, 0.75, 0.8106060606060606, 0.75]"
6,Adaboost Classifier,0.7265151515151516,0.7054673721340388,0.7035714285714286,0.6377952755905512,0.6689303904923599,0.6835443037974683,0.6858137510879025,0.659877800407332,0.7209221035909131,0.7023782125047948,"[0.7045454545454546, 0.75, 0.6628787878787878, 0.696969696969697, 0.7045454545454546]"
7,Random Forest Classifier,0.9242424242424242,0.7583774250440917,0.9766081871345029,0.7314814814814815,0.8505942275042445,0.6666666666666666,0.9092558983666061,0.6975717439293598,0.9170891794155968,0.7454545454545454,"[0.8181818181818182, 0.7575757575757576, 0.7575757575757576, 0.75, 0.7613636363636364]"
8,XGB Classifier,0.9878787878787879,0.7689594356261023,0.9897435897435898,0.7264957264957265,0.9830220713073005,0.7172995780590717,0.9863713798977853,0.721868365180467,0.9874070684853876,0.7616800920598389,"[0.7651515151515151, 0.7727272727272727, 0.8068181818181818, 0.8257575757575758, 0.7462121212121212]"
9,Decision Tree Classifier,0.7681818181818182,0.6684303350970018,0.724960254372019,0.5945945945945946,0.7741935483870968,0.6497890295358649,0.7487684729064039,0.6209677419354839,0.7687657208419753,0.6658036056770235,"[0.696969696969697, 0.7121212121212122, 0.6590909090909091, 0.6515151515151515, 0.7121212121212122]"
10,Extra Trees Classifier,0.8734848484848485,0.7301587301587301,0.9730941704035875,0.7307692307692307,0.7368421052631579,0.5611814345991561,0.838647342995169,0.6348448687350835,0.8602131182950536,0.7063482930571539,"[0.7689393939393939, 0.7651515151515151, 0.7310606060606061, 0.7045454545454546, 0.7424242424242424]"
11,Gaussian Naive Bayes,0.48409090909090907,0.4567901234567901,0.4637223974763407,0.4343807763401109,0.99830220713073,0.9915611814345991,0.6332794830371568,0.6041131105398457,0.5340348244955976,0.5321442270809359,"[0.4659090909090909, 0.4393939393939394, 0.5075757575757576, 0.4772727272727273, 0.48863636363636365]"
